Lower	Upper	Bandwidth	Modes	Notes
135.7	137.8	0.2	CW,Dig	CW, QRSS and narrow-band digital modes
472	479	0.5	CW,Dig	CW, QRSS and narrow-band digital modes (Note-1)
1810	1838	0.2	CW	Telegraphy
1838	1840	0.5	Dig	Narrow band modes
1840	1843	2.7	CW,Dig,Phone	All modes
1843	2000	2.7	CW,Phone	Telephony, Telegraphy  
1836				QRP (low power) Centre of Activity, 
1960				DF Contest beacons (14dBW)
3500	3510	0.2	CW	Telegraphy - Priority for inter-continental operation
3510	3560	0.2	CW	Telegraphy - contest preferred.
3555				QRS (slow telegraphy) Centre of Activity
3560	3570	0.2	CW	Telegraphy
3560				QRP (low power) Centre of Activity, 
3570	3580	0.2	CW,Dig	Narrow band modes
3580	3590	0.5	CW,Dig	Narrow band modes
3590	3600	0.5	CW,Dig	Narrow band modes - automatically controlled data stations (unattended)
3600	3620	2.7	CW,Dig,Phone	All modes - automatically controlled data stations (unattended)
3600	3650	2.7	CW,Dig,Phone	All modes - Phone contest preferred.
3630				digital voice Centre of Activity
3650	3700	2.7	CW,Dig,Phone	All modes - Telephony, Telegraphy
3663				may be used for UK emergency comms traffic.
3690				3,690 SSB QRP (low power) Centre of Activity.
3700	3775	2.7	CW,Dig,Phone	All modes - Phone contest preferred
3735				Image mode Centre of Activity
3760				IARU Region 1 Emergency Centre of Activity
3775	3800	2.7	CW,Dig,Phone	All modes - Phone contest preferred. Priority for inter-continental telephony (SSB) operation
5258.5	5264	5.5	CW,Dig,Phone	All Modes. 
5262				CW QRP Centre of Activity
5276	5284	8	CW,Dig,Phone	All modes
5278.5				May be used for UK emergency comms traffic
5288.5	5292	3.5	CW,Dig,Phone	All modes
5290				Beacons
5298	5307	9	CW,Dig,Phone	All modes
5313	5323	10	CW,Dig,Phone	All modes
5317		6		AM Spot frequency
5333	5338	5	CW,Dig,Phone	All modes
5354	5358	4	CW,Dig,Phone	All modes – within WRC-15 Band
5362	5374.5	12.5	CW,Dig,Phone	All modes – partly within WRC-15 band, WSPR
5378	5382	4	CW,Dig,Phone	All modes
5395	5401.5	6.5	CW,Dig,Phone	All modes
5403.5	5406.5	3	CW,Dig,Phone	All modes
7000	7040	0.2	CW	Telegraphy
7030				QRP Centre of Activity 
7040	7047	0.5	CW,Dig	Narrow band modes
7047	7050	0.5	CW,Dig	Narrow band modes, automatically controlled data stations (unattended) 
7050	7053	2.7	CW,Dig,Phone	All modes, automatically controlled data stations (unattended)
7053	7060	2.7	CW,Dig,Phone	All modes, digimodes
7060	7100	2.7	CW,Dig,Phone	All modes
7070				digital voice Centre of Activity
7090				SSB QRP Centre of Activity
7100	7130	2.7	CW,Dig,Phone	All modes
7110				Region 1 Emergency Centre of Activity.
7130	7200	2.7	CW,Dig,Phone	All modes, SSB Contest Preferred Segment
7165				Image Centre of Activity
7175	7200	2.7	CW,Dig,Phone	All modes, priority for intercontinental operation
10100	10130	0.2	CW	Telegraphy (CW)
10116				QRP (low power) Centre of Activity
10130	10150	0.5	CW,Dig	Narrow band modes 
14000	14060	0.2	CW	Telegraphy - contest preferred
14055				QRS (slow telegraphy Centre of Activity
14060	14070	0.2	CW	Telegraphy 
14060				QRP (low power) Centre of Activity 
14070	14089	0.5	CW,Dig	Narrow band modes
14089	14099	0.5	CW,Dig	Narrow band modes - automatically controlled data stations (unattended)
14099	14101		Beacons	IBP - reserved exclusively for beacons
14101	14112	2.7	CW,Dig,Phone	All modes - automatically controlled data stations (unattended)    
14112	14125	2.7	CW,Phone	All modes (excluding digimodes)
14125	14300	2.7	CW,Dig,Phone	All modes -       SSB contest preferred segment 
14130				digital voice Centre of Activity
14195				+/-5  Priority for Dxpeditions
14230				Image Centre of Activity.
14285				QRP Centre of Activity
14300	14350	2.7	CW,Dig,Phone	All modes
14300				Global Emergency Centre of Activity
18068	18095	0.2	CW	Telegraphy
18086				QRP (low power) Centre of Activity. 
18095	18105	0.5	CW,Dig	Narrow band modes
18105	18109	0.5	CW,Dig	Narrow band modes - automatically controlled data stations (unattended)  
18109	18111		Beacons	IBP - reserved exclusively for beacons
18111	18120	2.7	CW,Dig,Phone	All modes - automatically controlled data stations (unattended)
